=== WYNIKI TRENINGU ===


=== REP 0 ===
avg_pos_score 0.5641635060310364, avg_neg_score 0.5807608962059021
avg_pos_score 0.06790519505739212, avg_neg_score 0.01535123586654663
avg_pos_score 0.750715970993042, avg_neg_score 0.39247140288352966
avg_pos_score 0.9352366924285889, avg_neg_score 0.6939572095870972
avg_pos_score 0.6548029780387878, avg_neg_score 0.25398874282836914
avg_pos_score 0.5268881916999817, avg_neg_score 0.15446388721466064
avg_pos_score 0.7297025918960571, avg_neg_score 0.28166261315345764
avg_pos_score 0.7958328127861023, avg_neg_score 0.34671640396118164
avg_pos_score 0.7082126140594482, avg_neg_score 0.26806238293647766
avg_pos_score 0.7002981901168823, avg_neg_score 0.23943987488746643
avg_pos_score 0.7836510539054871, avg_neg_score 0.29362884163856506
avg_pos_score 0.7501038908958435, avg_neg_score 0.22868426144123077
avg_pos_score 0.7525832056999207, avg_neg_score 0.21252229809761047
avg_pos_score 0.8110785484313965, avg_neg_score 0.24639645218849182
avg_pos_score 0.790891706943512, avg_neg_score 0.2139456421136856
avg_pos_score 0.7580969929695129, avg_neg_score 0.1757637858390808
avg_pos_score 0.8149219155311584, avg_neg_score 0.2028893530368805
avg_pos_score 0.8304312229156494, avg_neg_score 0.20588074624538422
avg_pos_score 0.7969754338264465, avg_neg_score 0.1668788343667984
avg_pos_score 0.8025270700454712, avg_neg_score 0.17129744589328766
avg_pos_score 0.844244658946991, avg_neg_score 0.20631156861782074
avg_pos_score 0.8190842866897583, avg_neg_score 0.1763257384300232
avg_pos_score 0.8123410940170288, avg_neg_score 0.15482668578624725
avg_pos_score 0.8567832708358765, avg_neg_score 0.17861700057983398
avg_pos_score 0.8447666168212891, avg_neg_score 0.15691308677196503
avg_pos_score 0.8323432803153992, avg_neg_score 0.14130175113677979
avg_pos_score 0.8676939010620117, avg_neg_score 0.16744066774845123
avg_pos_score 0.8234536051750183, avg_neg_score 0.131245955824852
avg_pos_score 0.8845625519752502, avg_neg_score 0.17199254035949707
avg_pos_score 0.8153267502784729, avg_neg_score 0.11180023103952408
avg_pos_score 0.8896635174751282, avg_neg_score 0.1582341194152832
avg_pos_score 0.855631411075592, avg_neg_score 0.12324700504541397
avg_pos_score 0.8727445006370544, avg_neg_score 0.13309477269649506
avg_pos_score 0.8717532157897949, avg_neg_score 0.1297689825296402
avg_pos_score 0.8751400113105774, avg_neg_score 0.1265835464000702
avg_pos_score 0.8824509978294373, avg_neg_score 0.12540221214294434
avg_pos_score 0.8641024827957153, avg_neg_score 0.10835763067007065
avg_pos_score 0.9270898103713989, avg_neg_score 0.1636825054883957
avg_pos_score 0.839413046836853, avg_neg_score 0.09021513909101486
avg_pos_score 0.9194452166557312, avg_neg_score 0.1430472433567047
avg_pos_score 0.8294092416763306, avg_neg_score 0.07791439443826675
avg_pos_score 0.9101685285568237, avg_neg_score 0.12429090589284897
avg_pos_score 0.8653159141540527, avg_neg_score 0.09119863063097
avg_pos_score 0.935104489326477, avg_neg_score 0.14805123209953308
avg_pos_score 0.8697888851165771, avg_neg_score 0.091468445956707
avg_pos_score 0.9220845103263855, avg_neg_score 0.13163961470127106
avg_pos_score 0.8815391659736633, avg_neg_score 0.08915819227695465
avg_pos_score 0.9154592752456665, avg_neg_score 0.12301479279994965
avg_pos_score 0.903148353099823, avg_neg_score 0.10205887258052826
avg_pos_score 0.8501511216163635, avg_neg_score 0.08825550973415375
avg_pos_score 0.8885992765426636, avg_neg_score 0.10745310038328171
avg_pos_score 0.9316680431365967, avg_neg_score 0.11779601126909256
avg_pos_score 0.8272641897201538, avg_neg_score 0.071934275329113
avg_pos_score 0.8711576461791992, avg_neg_score 0.08515779674053192
avg_pos_score 0.9455483555793762, avg_neg_score 0.1407560408115387
avg_pos_score 0.9122763872146606, avg_neg_score 0.11731268465518951
avg_pos_score 0.8440532088279724, avg_neg_score 0.06897692382335663
avg_pos_score 0.893652617931366, avg_neg_score 0.09404130280017853
avg_pos_score 0.9439306259155273, avg_neg_score 0.12995968759059906
avg_pos_score 0.9053242206573486, avg_neg_score 0.09472917020320892
avg_pos_score 0.848393976688385, avg_neg_score 0.06552419811487198
avg_pos_score 0.9137351512908936, avg_neg_score 0.10190708935260773
avg_pos_score 0.9324008226394653, avg_neg_score 0.10861218720674515
avg_pos_score 0.8461158275604248, avg_neg_score 0.06565461307764053
avg_pos_score 0.8839002251625061, avg_neg_score 0.0774790570139885
avg_pos_score 0.9583441019058228, avg_neg_score 0.1449582278728485
avg_pos_score 0.9378949403762817, avg_neg_score 0.13135690987110138
avg_pos_score 0.8379412889480591, avg_neg_score 0.06344606727361679
avg_pos_score 0.8590222001075745, avg_neg_score 0.0633259043097496
avg_pos_score 0.9499965906143188, avg_neg_score 0.128261998295784
avg_pos_score 0.9433150291442871, avg_neg_score 0.12321767956018448
avg_pos_score 0.853800356388092, avg_neg_score 0.06517968326807022
avg_pos_score 0.8635659217834473, avg_neg_score 0.06454747170209885
avg_pos_score 0.9402147531509399, avg_neg_score 0.1179281696677208
avg_pos_score 0.9344770312309265, avg_neg_score 0.11254256963729858
avg_pos_score 0.856372594833374, avg_neg_score 0.06035708263516426
avg_pos_score 0.8801082372665405, avg_neg_score 0.07006445527076721
avg_pos_score 0.9548971056938171, avg_neg_score 0.12916529178619385
avg_pos_score 0.9498839974403381, avg_neg_score 0.12267911434173584
avg_pos_score 0.8627738356590271, avg_neg_score 0.06281907856464386
avg_pos_score 0.8598261475563049, avg_neg_score 0.05993502587080002
avg_pos_score 0.9393978118896484, avg_neg_score 0.1075388491153717
avg_pos_score 0.9434130191802979, avg_neg_score 0.10541512817144394
avg_pos_score 0.8751793503761292, avg_neg_score 0.0642383024096489
avg_pos_score 0.887040913105011, avg_neg_score 0.06775826215744019
avg_pos_score 0.9528994560241699, avg_neg_score 0.11898849904537201
avg_pos_score 0.9466970562934875, avg_neg_score 0.11293809115886688
avg_pos_score 0.8789408206939697, avg_neg_score 0.06099621206521988
avg_pos_score 0.8931259512901306, avg_neg_score 0.06593935191631317
avg_pos_score 0.9566882848739624, avg_neg_score 0.10913463681936264
avg_pos_score 0.9409579038619995, avg_neg_score 0.09540276974439621
avg_pos_score 0.8651575446128845, avg_neg_score 0.05434247851371765
avg_pos_score 0.8939149379730225, avg_neg_score 0.06313158571720123
avg_pos_score 0.962226390838623, avg_neg_score 0.116276815533638
avg_pos_score 0.9581069946289062, avg_neg_score 0.10877789556980133
avg_pos_score 0.8792769908905029, avg_neg_score 0.05383317172527313
avg_pos_score 0.8745220303535461, avg_neg_score 0.05149073526263237
avg_pos_score 0.9522354006767273, avg_neg_score 0.09720268100500107
avg_pos_score 0.9507777094841003, avg_neg_score 0.09291453659534454
avg_pos_score 0.8718417882919312, avg_neg_score 0.05088461562991142
Fold 0 FINAL: Loss=0.0951, TP=19, TN=124025, FP=1732, FN=48
Metrics: Acc=0.9859, Rec=0.2836, Prec=0.0109, F1=0.0209
avg_pos_score 0.5735663175582886, avg_neg_score 0.5775355696678162
avg_pos_score 0.17103447020053864, avg_neg_score 0.01710522547364235
avg_pos_score 0.8717349767684937, avg_neg_score 0.30198267102241516
avg_pos_score 0.8753273487091064, avg_neg_score 0.29660698771476746
avg_pos_score 0.5246848464012146, avg_neg_score 0.06399019062519073
avg_pos_score 0.5772213935852051, avg_neg_score 0.09903614223003387
avg_pos_score 0.9024445414543152, avg_neg_score 0.4326326549053192
